target_id,rank,priority_class,priority_score,ssi,local_mean_ssi_2km,known_objects_3km,nearest_known_km,distance_almaty_km,latitude,longitude
T01,1,Критический приоритет,99.9618439685753,99.97360834788256,99.92119792413293,11,0.7249635651762184,59.0872186719961,43.33441482344209,77.60588242128513
T02,2,Критический приоритет,99.53270203286155,99.50464899102684,99.35048362598926,11,0.5876828400581755,20.158756895400487,43.112684619577145,76.71152769845943
T03,3,Критический приоритет,98.5461804194657,99.91067440821796,99.86315286194059,10,1.9228083238571785,56.43674547101962,43.32611759825788,77.57469407567565
T04,4,Критический приоритет,98.51826824359205,99.88225262901456,99.82221887090132,10,0.517453719872015,60.185737127448114,43.316001667782594,77.6235918718693
T05,5,Критический приоритет,98.1640752853986,99.49855860976898,99.34501471220669,10,0.2509164776710083,17.079479879226806,43.12103387834094,76.75478408482365
T06,6,Критический приоритет,98.16059299597869,99.50058873685492,99.32968518114947,10,0.9870369130706013,60.309907202936635,43.29337233983405,77.6287815644253
T07,7,Критический приоритет,97.76047773447762,99.02756912582728,98.8631702630299,10,0.0653260579264154,15.214473253862936,43.12505880215478,76.78563228352523
T08,8,Критический приоритет,97.22838763992341,98.42056112712656,98.20238461213386,10,1.4274519964654022,8.826102529746237,43.234099131177125,76.99817059582068
T09,9,Критический приоритет,96.65039388608585,99.32599780746276,99.1612260641802,9,0.1292228481950438,54.318699416031606,43.34030083418172,77.54445308830071
T10,10,Критический приоритет,96.46896474290719,99.12907548012504,98.91748652037046,9,1.335656364278555,17.340515880623766,43.13490937239086,76.73059041845497
T11,11,Очень высокий приоритет,95.64414068034945,99.725932843396,99.61928902463582,8,1.3110789549255082,57.899538500296345,43.29857388990106,77.59818638238669
T12,12,Очень высокий приоритет,95.61815298209095,99.69954119127856,99.58104805932278,8,0.21959250870240662,56.98433361267659,43.34860621607535,77.57564506422092
T13,13,Очень высокий приоритет,95.01463763060141,97.42985910918024,97.18495949274997,9,1.2804222487984909,63.290968581715624,43.4103076364121,77.6338369922741
T14,14,Очень высокий приоритет,94.91770113380525,98.92809289861545,98.6605304349195,8,1.77444403059457,19.671314462417545,43.098719838102795,76.74185856430945
T15,15,Очень высокий приоритет,94.7682092041819,98.70071866498844,98.57907676449118,8,1.3724064196725991,50.26471792624034,43.28714216773075,77.50525828691376
T16,16,Очень высокий приоритет,93.6825158826371,99.04381014251491,98.87655252933119,7,1.7164634374946444,21.666728670667556,43.11764054273961,76.68093637013288
T17,17,Очень высокий приоритет,93.47432842153061,97.24917779853018,96.92729907749367,8,1.0223288708756437,6.919894791602298,43.24802565102275,76.97399018677109
T18,18,Очень высокий приоритет,93.4090287623434,98.71898980876205,98.56043274023239,7,0.8663167983717301,62.71654839112392,43.37868314952653,77.63863877643479
T19,19,Очень высокий приоритет,93.3719188678354,98.69056802955863,98.48883968707868,7,1.2555996298065688,50.847744505462046,43.31862811504908,77.50655232538173
T20,20,Очень высокий приоритет,93.3546710738378,97.07864712330992,96.8410808230881,8,2.3095015704893047,7.142862486274332,43.2076343832783,76.96653183053925
T21,21,Очень высокий приоритет,92.8110113264519,99.61224572658249,99.47485998337781,6,1.185679993077595,61.47573346792433,43.35184034729034,77.63130548574667
T22,22,Очень высокий приоритет,92.80033451522638,96.4452474724918,96.15452498754992,8,1.8272394243807226,47.36979463840473,43.24732954293085,77.47283133844844
T23,23,Очень высокий приоритет,92.74607211840032,99.52292013480044,99.422159541473,6,1.4105121076618927,53.206404403720754,43.313450670145386,77.53716647171065
T24,24,Очень высокий приоритет,92.68307396042994,97.86024605140284,97.71494695567942,7,1.389018625325073,51.53217840715167,43.268744055848515,77.5229857981617
T25,25,Очень высокий приоритет,92.55695335099406,97.7506191887612,97.49552750573615,7,0.8412950093382757,26.042288140071136,43.10034964876525,76.63130974875654
T26,26,Очень высокий приоритет,92.44346510377264,99.1960696739616,99.01269533758527,6,1.8842567458648003,62.57196897855952,43.31079315701645,77.65419322988663
T27,27,Очень высокий приоритет,91.99957781642846,98.68244752121484,98.47471165980703,6,1.5919988687588178,24.104993827712406,43.09990763148713,76.66201867390936
T28,28,Очень высокий приоритет,91.96018092161142,98.66620650452718,98.37316387434426,6,0.18349422385624767,17.867069600998228,43.10274847681195,76.77269477181663
T29,29,Очень высокий приоритет,91.94344273094353,95.42206342117017,95.17405646736341,8,1.6500028841155168,13.329607930163546,43.1189820954593,76.88379153403358
T30,30,Очень высокий приоритет,91.89063663956793,98.582971294003,98.29394748682697,6,0.14615085645441547,14.524346911669008,43.14334620856659,76.76771922505372
